"Idr�tsorganisationernes medlemmer efter alder, k�n, omr�de, aktivitet"
" ";" ";" ";"Basketball";500;470;460;370;410;380;370;360;330
" ";" ";" ";"Bordtennis";80;70;60;50;60;50;50;40;60
" ";" ";" ";"Cykling";870;870;740;680;500;410;440;380;350
" ";" ";" ";"Dans";1390;1250;1130;1540;1040;1060;920;940;1180
" ";" ";" ";"Esport";..;..;..;10;40;40;40;40;40
" ";" ";" ";"Fitness";11480;11890;13020;13550;13920;13580;12050;10950;12000
" ";" ";" ";"Fodbold";7280;7570;7860;7640;7350;7940;7640;8870;8730
" ";" ";" ";"Golf";980;1090;840;960;750;670;830;940;960
" ";" ";" ";"Gymnastik";6160;6020;5530;5430;5430;5680;5980;5370;5870
" ";" ";" ";"H�ndbold";6300;6180;5870;5640;5610;5590;5520;5430;5660
" ";" ";" ";"Ishockey";50;50;50;80;80;70;80;100;110
" ";" ";" ";"Kano/Kajak";440;510;470;520;600;600;530;630;580
" ";" ";" ";"L�b";2240;2630;2600;2970;2510;2900;2300;2190;2290
" ";" ";" ";"Padel";..;..;..;..;..;..;..;300;450
" ";" ";" ";"Ridning";6520;6560;6380;5980;5670;5690;5210;5080;5190
" ";" ";" ";"Roning";270;260;230;240;250;290;290;320;290
" ";" ";" ";"Sejlsport";390;440;470;590;680;640;750;740;740
" ";" ";" ";"Skydning";680;700;680;680;690;700;690;690;760
" ";" ";" ";"Styrkel�ft";420;480;460;410;490;450;410;390;440
" ";" ";" ";"Sv�mning";2570;2740;2530;3160;3200;3200;3120;2820;2870
" ";" ";" ";"Tennis";1080;1090;1090;1130;1190;1390;1940;2100;1870
" ";" ";" ";"Volleyball";1230;1290;1200;1300;1260;1320;1450;1400;1480
" ";" ";" ";"V�gtl�ftning";1030;1140;880;850;810;750;650;510;680
" ";" ";"K�benhavn"
" ";" ";" ";"Atletik";240;170;90;100;130;180;140;140;100
" ";" ";" ";"Amerikansk fodbold";40;60;50;50;40;30;70;40;40
" ";" ";" ";"Badminton";530;600;350;220;300;330;280;270;330
" ";" ";" ";"Basketball";130;140;110;80;80;80;90;120;90
" ";" ";" ";"Bordtennis";20;20;10;10;10;10;0;0;10
" ";" ";" ";"Cykling";170;200;240;190;160;90;190;160;140
" ";" ";" ";"Dans";840;820;690;940;550;650;610;570;700
" ";" ";" ";"Esport";..;..;..;0;10;0;0;0;10
" ";" ";" ";"Fitness";2670;3040;3130;3350;2920;3280;3220;3200;3210
" ";" ";" ";"Fodbold";830;1220;980;910;990;980;880;990;960
" ";" ";" ";"Golf";90;100;30;220;100;30;20;30;50
" ";" ";" ";"Gymnastik";790;900;860;870;810;690;840;730;880
" ";" ";" ";"H�ndbold";320;310;230;210;250;270;200;180;240
" ";" ";" ";"Ishockey";0;0;0;0;10;10;10;10;10
" ";" ";" ";"Kano/Kajak";40;110;70;110;150;140;110;140;190
" ";" ";" ";"L�b";1100;1590;1450;1400;1500;1860;1550;1450;1440
" ";" ";" ";"Padel";..;..;..;..;..;..;..;0;10
" ";" ";" ";"Ridning";30;0;10;0;0;0;0;0;0
" ";" ";" ";"Roning";70;70;50;60;50;70;70;80;80
" ";" ";" ";"Sejlsport";50;60;40;70;120;90;70;80;80
" ";" ";" ";"Skydning";60;60;80;50;70;70;60;50;60
" ";" ";" ";"Styrkel�ft";10;10;20;10;10;10;10;10;10
" ";" ";" ";"Sv�mning";520;540;450;510;480;570;460;490;520
" ";" ";" ";"Tennis";170;170;130;160;150;170;180;260;210
" ";" ";" ";"Volleyball";220;220;220;230;210;230;280;250;380
" ";" ";" ";"V�gtl�ftning";40;310;70;40;40;40;40;30;20
"25-59 �r"
" ";"M�nd"
" ";" ";"Hele landet"
" ";" ";" ";"Atletik";7160;4410;2240;1850;1600;1540;1400;1740;1370
" ";" ";" ";"Amerikansk fodbold";770;860;900;890;810;770;770;800;740
" ";" ";" ";"Badminton";45430;41880;41400;40520;39480;38360;36650;34900;34680
" ";" ";" ";"Basketball";2350;2300;2570;2450;2920;2980;3110;3110;3370
" ";" ";" ";"Bordtennis";3650;3700;3570;3520;3580;3640;3110;2940;3080
" ";" ";" ";"Cykling";28310;30440;30550;29870;28960;27630;26640;25700;23480
" ";" ";" ";"Dans";3540;3260;3190;3210;2880;2910;2300;2240;2400
" ";" ";" ";"Esport";..;..;..;270;680;1060;1240;1440;1500
" ";" ";" ";"Fitness";48190;51380;58330;57310;60960;61850;57370;52310;56170
" ";" ";" ";"Fodbold";87800;87640;85240;84740;89130;88120;83960;87830;87210
" ";" ";" ";"Golf";57460;55490;57200;57090;54920;55850;57390;59740;59860
" ";" ";" ";"Gymnastik";17330;16880;12390;11820;11850;11030;9720;9530;10020
" ";" ";" ";"H�ndbold";11440;11280;11060;11080;11290;11140;11120;10250;10920
" ";" ";" ";"Ishockey";1330;1390;1420;1620;1680;1930;2170;2230;2060
" ";" ";" ";"Kano/Kajak";10650;10550;10440;10300;10320;10340;9960;10150;9480
" ";" ";" ";"L�b";25340;26480;27080;25710;24270;28930;22990;21890;21020
" ";" ";" ";"Padel";..;..;..;..;..;..;..;5750;9800
" ";" ";" ";"Ridning";3300;3110;3010;2950;2860;2580;2390;2220;2060
" ";" ";" ";"Roning";3580;3410;3290;3200;3140;3040;2780;2760;2800
" ";" ";" ";"Sejlsport";23990;22710;22390;21840;20770;21550;22100;22500;22730
" ";" ";" ";"Skydning";35350;31300;29130;29420;29360;28720;27060;27150;26410
" ";" ";" ";"Styrkel�ft";2050;2770;2600;2490;2960;2910;2790;2680;3050
" ";" ";" ";"Sv�mning";15810;17320;16910;20510;19940;21840;21110;21820;25190
" ";" ";" ";"Tennis";20810;19720;19230;19170;19650;20340;25250;23740;22630
" ";" ";" ";"Volleyball";5640;5400;5400;5190;5390;5400;5160;5060;5140
" ";" ";" ";"V�gtl�ftning";3790;2410;2970;2740;3520;3660;3320;3350;3520
" ";" ";"K�benhavn"
" ";" ";" ";"Atletik";2540;1260;460;260;150;120;100;220;130
" ";" ";" ";"Amerikansk fodbold";180;190;200;190;190;150;140;130;120
" ";" ";" ";"Badminton";3940;3890;3800;3510;3310;2930;2870;2610;2830
" ";" ";" ";"Basketball";560;530;670;600;690;700;830;910;970
" ";" ";" ";"Bordtennis";970;930;860;830;800;670;560;570;580
" ";" ";" ";"Cykling";4190;4420;4380;3900;3800;3150;3050;3030;2620
" ";" ";" ";"Dans";580;590;830;680;580;810;590;550;730
" ";" ";" ";"Esport";..;..;..;20;70;150;150;110;260
" ";" ";" ";"Fitness";9650;9830;13510;11220;11040;11490;10690;10090;7710
" ";" ";" ";"Fodbold";19150;18770;17350;17600;17830;17490;16890;16450;16550
" ";" ";" ";"Golf";3650;3440;3600;3280;3170;2750;2480;2380;2240
" ";" ";" ";"Gymnastik";4320;4170;1350;1050;960;760;680;700;900
" ";" ";" ";"H�ndbold";1000;910;830;750;870;680;720;640;660
" ";" ";" ";"Ishockey";130;120;120;100;270;310;390;320;320
" ";" ";" ";"Kano/Kajak";1170;1200;1220;1210;1320;1330;1240;1360;1340
" ";" ";" ";"L�b";8410;10030;10000;8670;9020;12850;9000;8090;7280
" ";" ";" ";"Padel";..;..;..;..;..;..;..;100;490
" ";" ";" ";"Ridning";30;30;30;30;10;20;10;10;20
" ";" ";" ";"Roning";780;760;660;680;670;720;670;680;720
" ";" ";" ";"Sejlsport";4850;3620;3660;3300;3530;3600;3590;3840;3830
" ";" ";" ";"Skydning";4990;4730;5360;5270;5760;5540;4930;5380;4260
" ";" ";" ";"Styrkel�ft";80;120;130;70;90;80;70;70;70
" ";" ";" ";"Sv�mning";3070;4390;4070;4660;4080;4960;5070;5290;6100
" ";" ";" ";"Tennis";2980;2840;2950;2930;3120;3360;3990;4050;3740
" ";" ";" ";"Volleyball";910;770;800;700;770;670;760;760;810
" ";" ";" ";"V�gtl�ftning";350;560;270;230;240;240;270;230;270
" ";"Kvinder"
" ";" ";"Hele landet"
" ";" ";" ";"Atletik";5690;3870;1680;1170;1070;1040;1060;1470;1020
" ";" ";" ";"Amerikansk fodbold";50;40;90;110;110;150;170;170;180
" ";" ";" ";"Badminton";18460;17470;17220;16530;15990;15350;15200;14280;14450
" ";" ";" ";"Basketball";810;820;960;990;1100;1180;1210;1130;1220
" ";" ";" ";"Bordtennis";480;450;420;430;430;450;530;470;490
" ";" ";" ";"Cykling";8570;8960;8630;8230;8170;7680;7470;7140;6140
" ";" ";" ";"Dans";10180;9230;9510;9280;8420;8380;7040;7190;7430
" ";" ";" ";"Esport";..;..;..;70;110;190;130;240;300
" ";" ";" ";"Fitness";51740;51980;72640;72570;76870;78900;71130;64360;68990
" ";" ";" ";"Fodbold";9440;10370;10670;11290;12610;13670;12900;14490;14260
" ";" ";" ";"Golf";22060;22390;18980;17580;16210;16050;16470;17430;17360
" ";" ";" ";"Gymnastik";60120;56790;43410;41360;38690;39440;35230;33340;37680
" ";" ";" ";"H�ndbold";11390;11350;11270;11280;11660;11620;11520;10910;11860
" ";" ";" ";"Ishockey";100;110;130;140;180;250;270;270;320
" ";" ";" ";"Kano/Kajak";8140;8140;8320;8590;8950;9220;9220;10040;9640
" ";" ";" ";"L�b";24170;24420;25290;23400;23010;26940;21530;21430;20420
" ";" ";" ";"Padel";..;..;..;..;..;..;..;2220;4300
" ";" ";" ";"Ridning";19130;19420;18920;18400;18310;18280;17790;18020;18230
" ";" ";" ";"Roning";3750;3550;3470;3470;3320;3210;2850;3090;2970
" ";" ";" ";"Sejlsport";6220;6270;6490;6690;6980;6950;7600;7790;7750
" ";" ";" ";"Skydning";4600;4160;3700;3990;4040;4440;3980;4280;4140
" ";" ";" ";"Styrkel�ft";710;1080;1190;950;1220;1270;1170;1130;1350
" ";" ";" ";"Sv�mning";24550;25890;27130;32540;33030;34920;33310;34780;41610
" ";" ";" ";"Tennis";11290;10800;10390;10390;10700;11010;13300;13640;13510
" ";" ";" ";"Volleyball";3820;3670;3870;3770;3750;3780;3810;3670;3840
" ";" ";" ";"V�gtl�ftning";2490;1290;1990;1820;2510;2760;3000;2670;2890
" ";" ";"K�benhavn"
" ";" ";" ";"Atletik";1600;940;380;190;80;60;60;160;70
" ";" ";" ";"Amerikansk fodbold";20;10;40;50;60;70;60;60;50
" ";" ";" ";"Badminton";2010;2050;2190;1700;1660;1670;1560;1440;1570
" ";" ";" ";"Basketball";240;200;270;220;240;280;310;330;340
" ";" ";" ";"Bordtennis";140;130;100;100;80;70;70;90;120
" ";" ";" ";"Cykling";1410;1490;1400;1270;1660;1330;1410;1400;1120
" ";" ";" ";"Dans";1710;1700;2400;1970;1830;2140;1810;1960;2370
" ";" ";" ";"Esport";..;..;..;10;20;30;20;20;80
" ";" ";" ";"Fitness";9060;9250;13490;12130;11670;12300;11740;10950;8820
" ";" ";" ";"Fodbold";1320;1640;1450;1500;1880;2000;2150;2280;2040
" ";" ";" ";"Golf";960;1000;850;640;780;760;840;860;750
" ";" ";" ";"Gymnastik";6390;6270;2740;2670;2430;1910;1870;2240;2670
" ";" ";" ";"H�ndbold";760;700;660;610;690;610;650;670;670
" ";" ";" ";"Ishockey";20;10;0;0;60;60;60;70;60
" ";" ";" ";"Kano/Kajak";740;850;910;950;1080;1190;1170;1430;1450
" ";" ";" ";"L�b";6910;7980;8020;6910;7520;10610;8400;7780;7110
" ";" ";" ";"Padel";..;..;..;..;..;..;..;30;210
" ";" ";" ";"Ridning";300;270;200;120;170;90;80;70;30
" ";" ";" ";"Roning";660;670;700;820;790;790;740;800;820
" ";" ";" ";"Sejlsport";1370;1030;1160;1430;1080;1210;1530;1350;1340
" ";" ";" ";"Skydning";630;590;430;640;660;910;680;690;630
" ";" ";" ";"Styrkel�ft";30;50;70;40;30;20;30;30;30
" ";" ";" ";"Sv�mning";4460;4360;5920;6480;6870;7500;7460;7640;8550
" ";" ";" ";"Tennis";1260;1510;1320;1250;1290;1500;1840;2120;1940
" ";" ";" ";"Volleyball";800;620;770;650;540;570;650;540;690
" ";" ";" ";"V�gtl�ftning";70;330;70;50;60;80;120;110;110
"60 �r og derover"
" ";"M�nd"
" ";" ";"Hele landet"
" ";" ";" ";"Atletik";1580;1480;800;730;740;730;700;710;760
" ";" ";" ";"Amerikansk fodbold";0;0;10;10;0;10;10;10;10
" ";" ";" ";"Badminton";19570;20100;20230;20630;21520;21530;20800;20710;19850
" ";" ";" ";"Basketball";110;120;150;140;120;130;130;140;160
" ";" ";" ";"Bordtennis";1760;1870;1980;2400;2830;3400;3070;3370;3780
" ";" ";" ";"Cykling";6130;6700;6630;7130;7550;8030;8280;8810;9420
" ";" ";" ";"Dans";6880;7110;6670;7040;6190;5660;4920;4810;4520
" ";" ";" ";"Esport";..;..;..;40;10;30;30;30;100
" ";" ";" ";"Fitness";11530;12750;14630;16650;18650;20420;19280;18540;19800
" ";" ";" ";"Fodbold";6020;6440;7060;7200;8270;8690;9240;9620;10120
" ";" ";" ";"Golf";40630;41380;42610;44140;45880;46640;47290;50500;52100
" ";" ";" ";"Gymnastik";14340;14540;13520;13700;13500;13020;11710;11850;11750
" ";" ";" ";"H�ndbold";570;590;560;520;550;630;600;600;630
" ";" ";" ";"Ishockey";40;20;40;40;70;90;100;130;150
" ";" ";" ";"Kano/Kajak";3510;3930;4060;4460;4930;5280;5770;6030;6290
" ";" ";" ";"L�b";4420;4790;5320;5790;6110;7140;6050;6070;5920
" ";" ";" ";"Padel";..;..;..;..;..;..;..;640;1070
" ";" ";" ";"Ridning";1430;1410;1440;1430;1540;1520;1480;1470;1460
" ";" ";" ";"Roning";3340;3390;3410;3600;3860;4050;4070;4060;4150
" ";" ";" ";"Sejlsport";16210;16590;16720;17010;17480;18060;17960;18410;18710
" ";" ";" ";"Skydning";17250;15590;14380;14510;14970;14570;14720;14920;14770
" ";" ";" ";"Styrkel�ft";580;350;330;380;440;390;600;640;440
" ";" ";" ";"Sv�mning";6000;6310;5780;7040;7790;8480;7690;8270;9290
" ";" ";" ";"Tennis";12110;12970;13120;13520;14150;14540;15080;15070;15190
" ";" ";" ";"Volleyball";580;640;670;780;800;890;850;880;1000
" ";" ";" ";"V�gtl�ftning";1200;400;950;940;1050;1010;970;950;880
" ";" ";"K�benhavn"
" ";" ";" ";"Atletik";330;280;80;50;40;40;40;30;40
" ";" ";" ";"Amerikansk fodbold";0;0;0;0;0;0;0;0;0
" ";" ";" ";"Badminton";1120;1140;1040;930;990;860;870;850;820
" ";" ";" ";"Basketball";20;20;20;20;30;30;30;40;40
" ";" ";" ";"Bordtennis";290;300;290;350;350;340;280;310;370
" ";" ";" ";"Cykling";470;560;540;610;540;410;400;430;370
" ";" ";" ";"Dans";200;190;230;300;250;280;160;220;260
" ";" ";" ";"Esport";..;..;..;0;0;20;10;10;90
" ";" ";" ";"Fitness";840;560;760;830;840;910;880;800;900
" ";" ";" ";"Fodbold";990;1010;1060;1000;1160;1050;1030;1050;1050
" ";" ";" ";"Golf";690;650;830;770;940;910;820;830;840
" ";" ";" ";"Gymnastik";690;690;590;510;450;390;500;410;440
" ";" ";" ";"H�ndbold";170;140;140;90;120;150;150;150;120
" ";" ";" ";"Ishockey";10;0;0;0;10;10;20;20;20
" ";" ";" ";"Kano/Kajak";70;100;100;130;150;170;200;200;210
" ";" ";" ";"L�b";690;930;1110;1310;1430;1890;1130;1110;880
" ";" ";" ";"Padel";..;..;..;..;..;..;..;10;30
" ";" ";" ";"Ridning";0;0;0;0;10;10;0;0;0
" ";" ";" ";"Roning";310;290;290;420;500;640;600;640;700
" ";" ";" ";"Sejlsport";1900;1510;1710;1630;1680;1700;1680;1780;1820
" ";" ";" ";"Skydning";1560;1400;1320;1330;1350;1460;1410;1540;1310
" ";" ";" ";"Styrkel�ft";0;0;0;10;0;0;0;10;10
" ";" ";" ";"Sv�mning";420;1080;590;700;940;720;820;860;910
" ";" ";" ";"Tennis";560;630;650;670;780;780;860;820;820
" ";" ";" ";"Volleyball";20;20;40;40;30;30;50;50;60
" ";" ";" ";"V�gtl�ftning";40;30;30;30;20;30;30;20;40
" ";"Kvinder"
" ";" ";"Hele landet"
" ";" ";" ";"Atletik";1620;1380;800;700;680;640;590;590;640
" ";" ";" ";"Amerikansk fodbold";0;0;10;0;0;0;10;0;0
" ";" ";" ";"Badminton";9450;10460;9860;10040;10150;10290;9640;9520;8900
" ";" ";" ";"Basketball";20;40;50;40;40;60;50;30;40
" ";" ";" ";"Bordtennis";230;240;280;370;550;770;680;770;840
" ";" ";" ";"Cykling";2560;2670;2210;2340;2230;2290;2400;2430;2320
" ";" ";" ";"Dans";13820;13390;12840;13060;13130;12180;10820;10160;10300
" ";" ";" ";"Esport";..;..;..;40;10;10;0;10;40
" ";" ";" ";"Fitness";13500;15050;20750;23810;25720;29180;27830;26070;28410
" ";" ";" ";"Fodbold";270;350;300;300;450;430;460;520;680
" ";" ";" ";"Golf";26930;27330;26950;27430;26640;26980;27040;29390;29140
" ";" ";" ";"Gymnastik";44750;44930;41030;40430;40080;38670;34010;34800;36250
" ";" ";" ";"H�ndbold";630;650;670;700;570;570;520;480;450
" ";" ";" ";"Ishockey";0;0;0;0;0;0;0;0;0
" ";" ";" ";"Kano/Kajak";1850;2090;2230;2550;2840;3210;3560;3890;4070
" ";" ";" ";"L�b";3820;3980;4410;5000;5110;6100;5240;5140;5390
" ";" ";" ";"Padel";..;..;..;..;..;..;..;250;470
" ";" ";" ";"Ridning";1600;1830;1920;2070;2230;2400;2630;2870;3070
" ";" ";" ";"Roning";2450;2700;2800;3070;3320;3610;3490;3700;3810
" ";" ";" ";"Sejlsport";3450;3440;3760;3770;4430;4010;4280;4280;4440
" ";" ";" ";"Skydning";1390;1350;1280;1330;1360;1560;1380;1490;1320
" ";" ";" ";"Styrkel�ft";690;170;180;170;220;170;360;360;220
" ";" ";" ";"Sv�mning";14870;14500;14280;15650;17100;17780;17390;17740;20260
" ";" ";" ";"Tennis";6090;6450;6310;6620;7170;7160;7470;7660;7860
" ";" ";" ";"Volleyball";450;510;420;490;510;460;430;410;480
" ";" ";" ";"V�gtl�ftning";920;180;720;710;740;760;830;730;690
" ";" ";"K�benhavn"
" ";" ";" ";"Atletik";220;140;50;20;20;30;20;30;20
" ";" ";" ";"Amerikansk fodbold";0;0;0;0;0;0;0;0;0
" ";" ";" ";"Badminton";510;510;410;470;480;440;350;370;340
" ";" ";" ";"Basketball";10;0;10;10;10;10;0;10;10
" ";" ";" ";"Bordtennis";60;40;40;10;50;70;50;60;70
" ";" ";" ";"Cykling";200;210;220;420;210;260;240;280;160
" ";" ";" ";"Dans";440;380;400;550;430;460;310;350;470
" ";" ";" ";"Esport";..;..;..;0;0;0;0;0;30
" ";" ";" ";"Fitness";700;490;1450;1120;1220;980;1150;1270;1200
" ";" ";" ";"Fodbold";40;30;40;20;40;30;30;30;60
" ";" ";" ";"Golf";210;190;270;230;260;360;220;260;270
" ";" ";" ";"Gymnastik";2150;2240;1930;1810;1870;1100;1360;1440;1380
" ";" ";" ";"H�ndbold";230;190;230;170;180;180;100;40;50
" ";" ";" ";"Ishockey";0;0;0;0;0;0;0;0;0
" ";" ";" ";"Kano/Kajak";40;50;50;100;100;90;110;130;150
" ";" ";" ";"L�b";650;750;830;1110;920;1330;670;690;700
" ";" ";" ";"Padel";..;..;..;..;..;..;..;0;0
" ";" ";" ";"Ridning";0;0;10;10;10;10;10;10;0
" ";" ";" ";"Roning";170;180;210;400;490;640;600;640;730
" ";" ";" ";"Sejlsport";610;370;410;530;350;380;480;420;450
" ";" ";" ";"Skydning";150;140;100;90;100;170;110;120;90
" ";" ";" ";"Styrkel�ft";0;0;0;0;0;0;0;0;0
" ";" ";" ";"Sv�mning";780;1020;1150;1310;1730;1290;1450;1540;1660
" ";" ";" ";"Tennis";340;320;220;230;290;320;320;320;360
" ";" ";" ";"Volleyball";0;20;10;20;0;20;20;20;10
" ";" ";" ";"V�gtl�ftning";0;0;0;0;0;0;0;10;10
